Model,Platform,Benchmark Suite,Benchmark,Dataset,Oracle Mapping,Predicted Mapping,Correct?,Speedup
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs3,B,0,0,1,2.0091380549975097
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs3,B,0,0,1,2.027035436383646
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs3,B,0,0,1,2.0091380549975097
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs3,B,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs3,B,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs3,B,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs3,B,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs3,B,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs3,C,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs3,C,0,1,0,0.5018609333833043
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs3,C,0,1,0,0.5018609333833043
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs3,C,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs3,C,0,0,1,2.1676329051258816
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs3,C,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs3,C,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs3,C,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs3,S,0,0,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs3,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs3,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs3,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs3,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs3,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs3,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs3,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs3,S,0,0,1,1.262178118809977
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs3,S,0,0,1,1.0879925839755709
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs3,S,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs3,S,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs3,S,0,0,1,1.262178118809977
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs3,S,0,0,1,1.0879925839755709
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs3,S,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs3,S,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs3,W,0,0,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs3,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs3,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs3,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs3,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs3,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs3,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs3,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs3,W,1,0,0,0.7979132550915664
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs3,W,1,0,0,0.807300459450796
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs3,W,1,0,0,0.7979132550915664
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs3,W,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs3,W,1,0,0,0.7979132550915664
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs3,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs3,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs3,W,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs4,A,0,0,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs4,A,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs4,A,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs4,A,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs4,A,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs4,A,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs4,A,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs4,A,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs4,A,0,0,1,1.4799630551970895
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs4,A,0,0,1,1.4790018359726878
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs4,A,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs4,A,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs4,A,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs4,A,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs4,A,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs4,A,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs4,B,0,0,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs4,B,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs4,B,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs4,B,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs4,B,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs4,B,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs4,B,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs4,B,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs4,B,0,0,1,1.6596287754558918
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs4,B,0,0,1,1.6544029867790402
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs4,B,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs4,B,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs4,B,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs4,B,0,0,1,1.6544029867790402
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs4,B,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs4,B,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs4,C,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs4,C,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs4,C,0,1,0,0.5557506434223403
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs4,C,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs4,C,0,0,1,1.8548858395832268
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs4,C,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs4,C,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs4,C,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs4,S,0,0,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs4,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs4,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs4,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs4,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs4,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs4,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs4,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs4,S,0,1,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs4,S,0,0,1,1.250175075651956
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs4,S,0,0,1,1.027828785272651
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs4,S,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs4,S,0,0,1,1.027828785272651
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs4,S,0,0,1,1.250175075651956
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs4,S,0,1,0,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs4,S,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs4,W,0,0,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs4,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs4,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs4,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs4,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs4,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs4,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs4,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs4,W,1,0,0,0.7957100150056416
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs4,W,1,0,0,0.8006811616727316
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs4,W,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs4,W,1,0,0,0.8006811616727316
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs4,W,1,0,0,0.7957100150056416
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs4,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs4,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs4,W,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs5,A,1,1,1,1.0104537545669143
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs5,A,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs5,A,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs5,A,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs5,A,1,1,1,1.0104537545669143
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs5,A,0,1,0,0.7259616644138673
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs5,A,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs5,A,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs5,A,1,1,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs5,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs5,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs5,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs5,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs5,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs5,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs5,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs5,B,1,1,1,2.4670033136912792
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs5,B,1,1,1,2.529735454108154
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs5,B,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs5,B,1,1,1,2.529735454108154
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs5,B,1,1,1,2.4670033136912792
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs5,B,1,1,1,2.529735454108154
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs5,B,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs5,B,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs5,B,1,1,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs5,B,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs5,B,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs5,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs5,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs5,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs5,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs5,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs5,C,1,1,1,3.2546270847674252
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs5,C,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs5,C,1,1,1,3.2546270847674252
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs5,C,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs5,C,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs5,C,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs5,C,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs5,C,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs5,S,0,0,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs5,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs5,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs5,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs5,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs5,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs5,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs5,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs5,S,1,1,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs5,S,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs5,S,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs5,S,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs5,S,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs5,S,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs5,S,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs5,S,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs5,W,0,0,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,exact_rhs5,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs5,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,exact_rhs5,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs5,W,0,1,0,0.26234297399941575
Grewe et al.,amd_tahiti_7970,npb-3.3,exact_rhs5,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs5,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,exact_rhs5,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs5,W,1,1,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,exact_rhs5,W,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs5,W,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,exact_rhs5,W,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs5,W,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,exact_rhs5,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs5,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,exact_rhs5,W,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_mem_0,A,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_mem_0,A,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,init_mem_0,A,1,1,1,3.538971637777712
Static mapping,amd_tahiti_7970,npb-3.3,init_mem_0,A,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_mem_0,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_mem_0,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_mem_0,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_mem_0,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_mem_0,B,1,1,1,16.035890750277037
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_mem_0,B,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,init_mem_0,B,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,init_mem_0,B,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_mem_0,B,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_mem_0,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_mem_0,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_mem_0,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_mem_0,C,1,1,1,31.402710793096155
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_mem_0,C,1,1,1,31.402710793096155
Grewe et al.,amd_tahiti_7970,npb-3.3,init_mem_0,C,1,1,1,31.402710793096155
Static mapping,amd_tahiti_7970,npb-3.3,init_mem_0,C,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_mem_0,C,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_mem_0,C,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_mem_0,C,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_mem_0,C,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_mem_0,S,0,1,0,0.1807877051301895
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_mem_0,S,0,1,0,0.1807877051301895
Grewe et al.,amd_tahiti_7970,npb-3.3,init_mem_0,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,init_mem_0,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_mem_0,S,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_mem_0,S,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_mem_0,S,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_mem_0,S,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_mem_0,W,0,1,0,0.49938341829423966
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_mem_0,W,0,1,0,0.49938341829423966
Grewe et al.,amd_tahiti_7970,npb-3.3,init_mem_0,W,0,1,0,0.49938341829423966
Static mapping,amd_tahiti_7970,npb-3.3,init_mem_0,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_mem_0,W,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_mem_0,W,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_mem_0,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_mem_0,W,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_mem_1,A,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_mem_1,A,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,init_mem_1,A,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,init_mem_1,A,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_mem_1,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_mem_1,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_mem_1,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_mem_1,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_mem_1,B,1,1,1,22.592166016123024
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_mem_1,B,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,init_mem_1,B,1,1,1,22.592166016123024
Static mapping,amd_tahiti_7970,npb-3.3,init_mem_1,B,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_mem_1,B,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_mem_1,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_mem_1,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_mem_1,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_mem_1,C,1,1,1,42.117185976291175
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_mem_1,C,1,1,1,42.117185976291175
Grewe et al.,amd_tahiti_7970,npb-3.3,init_mem_1,C,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,init_mem_1,C,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_mem_1,C,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_mem_1,C,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_mem_1,C,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_mem_1,C,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_mem_1,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_mem_1,S,0,1,0,0.2516690953813082
Grewe et al.,amd_tahiti_7970,npb-3.3,init_mem_1,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,init_mem_1,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_mem_1,S,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_mem_1,S,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_mem_1,S,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_mem_1,S,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_mem_1,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_mem_1,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,init_mem_1,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,init_mem_1,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_mem_1,W,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_mem_1,W,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_mem_1,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_mem_1,W,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_ui,A,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_ui,A,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,init_ui,A,1,1,1,43.8953705732331
Static mapping,amd_tahiti_7970,npb-3.3,init_ui,A,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_ui,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_ui,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_ui,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_ui,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_ui,B,1,1,1,56.67762019071375
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_ui,B,1,1,1,56.67762019071375
Grewe et al.,amd_tahiti_7970,npb-3.3,init_ui,B,1,1,1,56.67762019071375
Static mapping,amd_tahiti_7970,npb-3.3,init_ui,B,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_ui,B,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_ui,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_ui,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_ui,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_ui,S,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_ui,S,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,init_ui,S,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,init_ui,S,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,init_ui,S,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,init_ui,S,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,init_ui,S,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,init_ui,S,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,init_ui,W,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,init_ui,W,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,init_ui,W,1,0,0,1.0
